pl_name,hostname,pl_orbper,pl_tranmid,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_imppar,pl_impparerr1,pl_ratdor,pl_trandep,pl_trandur,st_teff,st_logg,st_met,default_flag,pl_refname
"Kepler-7 b","Kepler-7",4.88548920000,2454967.27687000,0.08294000,0.00011000,-0.00011000,0.559900,0.004500,6.637000,,,5933.00,3.980000,0.1100,1,"<a refstr=ESTEVES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804..150E/abstract target=ref>Esteves et al. 2015</a>"
"Kepler-7 b","Kepler-7",4.88552500000,2454967.27571000,0.08241000,0.00030000,-0.00043000,0.445000,0.032000,7.220000,,4.6300000,5933.00,4.030000,0.1100,0,"<a refstr=LATHAM_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...713L.140L/abstract target=ref> Latham et al. 2010 </a>"
"Kepler-7 b","Kepler-7",4.88548895300,,0.08067800,0.00005400,-0.00016000,,,,,,6084.00,,0.1900,0,"<a refstr=FULTON__AMP__PETIGURA_2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..264F/abstract target=ref>Fulton &amp; Petigura 2018</a>"
"Kepler-7 b","Kepler-7",4.88548917000,2454967.27607900,0.08284000,0.00003000,-0.00003000,0.514500,0.100000,6.842000,0.74890000,5.2295000,5934.00,4.040000,,0,"<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>"
"Kepler-7 b","Kepler-7",4.88548837000,2455700.10019800,0.08294000,0.00011000,-0.00011000,,,6.637000,,,5933.00,4.030000,0.1100,0,"<a refstr=KOKORI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....4K/abstract target=ref>Kokori et al. 2023</a>"
"Kepler-7 b","Kepler-7",4.88548895300,2454967.27683830,0.08067800,0.00005400,-0.00016000,,,,,5.1313000,6083.00,3.970000,0.1100,0,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>"
"Kepler-7 b","Kepler-7",4.88548859600,2454967.27687850,0.07989800,0.00009400,-0.00012600,0.361000,0.014000,7.392000,0.74584000,5.1616500,6036.00,3.968000,0.1000,0,"<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>"
"Kepler-7 b","Kepler-7",4.88548895300,2454967.27683830,0.08067800,0.00005400,-0.00016000,0.203200,0.016400,7.747000,0.75693000,5.1313000,6027.00,3.971000,0.1000,0,"<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>"
"Kepler-7 b","Kepler-7",4.88548895300,2454967.27683830,0.08067800,0.00005400,-0.00016000,0.203200,0.016400,7.747000,0.75693000,5.1313000,6027.00,3.971000,0.1000,0,"<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>"
"Kepler-7 b","Kepler-7",4.88548895300,2454967.27683830,0.08067800,0.00005400,-0.00016000,0.203200,0.016400,7.747000,0.75693000,5.1313000,6027.00,3.971000,0.1000,0,"<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>"
